CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST000001,157,1,446.48,5,1,1,511,Others
CUST000002,1063,3,1389.9299999999998,2,4,2,242,At Risk
CUST000003,1463,1,1116.91,1,1,2,112,Lost Customers
CUST000004,196,3,2660.06,4,4,4,444,Champions
CUST000005,640,1,1089.56,3,1,2,312,Others
CUST000006,249,4,2831.85,4,5,4,454,Champions
CUST000007,1546,1,450.53,1,1,1,111,Lost Customers
CUST000008,53,3,4116.16,5,4,5,545,Champions
CUST000009,258,2,2120.69,4,2,3,423,Others
CUST000010,41,2,1201.0,5,2,2,522,Others
CUST000011,66,3,2852.02,5,4,4,544,Champions
CUST000012,570,1,2448.98,3,1,4,314,Others
CUST000014,374,2,3768.41,4,2,5,425,Others
CUST000015,116,2,776.81,5,2,2,522,Others
CUST000016,493,2,573.05,3,2,1,321,Others
CUST000017,8,2,352.57,5,2,1,521,Others
CUST000018,806,3,3240.99,2,4,4,244,Loyal Customers
CUST000019,880,1,1371.4,2,1,2,212,Lost Customers
CUST000020,66,1,1394.52,5,1,2,512,Others
CUST000021,365,2,2554.11,4,2,4,424,Others
CUST000022,1069,3,3460.8,2,4,5,245,Loyal Customers
CUST000023,333,1,1707.39,4,1,3,413,Others
CUST000024,965,1,841.88,2,1,2,212,Lost Customers
CUST000025,574,2,627.88,3,2,1,321,Others
CUST000026,570,2,2405.37,3,2,4,324,Others
CUST000027,155,2,1713.44,5,2,3,523,Others
CUST000029,1404,3,2454.3599999999997,1,4,4,144,Loyal Customers
CUST000030,471,4,968.95,3,5,2,352,Others
CUST000031,261,4,4627.38,4,5,5,455,Champions
CUST000032,464,2,897.27,3,2,2,322,Others
CUST000033,1242,2,722.64,1,2,2,122,Lost Customers
CUST000037,400,2,3833.8599999999997,3,2,5,325,Others
CUST000038,896,2,907.23,2,2,2,222,Lost Customers
CUST000039,8,2,128.68,5,2,1,521,Others
CUST000040,1350,1,191.74,1,1,1,111,Lost Customers
CUST000041,637,3,1793.55,3,4,3,343,Loyal Customers
CUST000042,1072,2,1298.03,2,2,2,222,Lost Customers
CUST000043,481,1,497.33,3,1,1,311,Others
CUST000044,345,3,3636.77,4,4,5,445,Champions
CUST000046,236,4,2558.5299999999997,4,5,4,454,Champions
CUST000047,1281,2,1081.3899999999999,1,2,2,122,Lost Customers
CUST000048,1109,1,1463.6,1,1,3,113,Lost Customers
CUST000049,725,2,2925.89,2,2,4,224,Lost Customers
CUST000050,338,2,2380.86,4,2,4,424,Others
CUST000051,219,1,758.83,4,1,2,412,Others
CUST000052,1709,1,895.66,1,1,2,112,Lost Customers
CUST000053,906,3,1727.68,2,4,3,243,Loyal Customers
CUST000054,491,3,3251.9,3,4,4,344,Loyal Customers
CUST000055,620,2,4507.969999999999,3,2,5,325,Others
CUST000056,455,2,3346.4300000000003,3,2,5,325,Others
CUST000058,86,2,651.0300000000001,5,2,1,521,Others
CUST000059,626,1,1035.29,3,1,2,312,Others
CUST000061,707,1,2140.97,2,1,3,213,Lost Customers
CUST000062,57,6,7146.65,5,5,5,555,Champions
CUST000063,408,3,1043.5900000000001,3,4,2,342,Others
CUST000064,25,4,5024.780000000001,5,5,5,555,Champions
CUST000065,63,3,5306.8,5,4,5,545,Champions
CUST000066,249,2,1223.3600000000001,4,2,2,422,Others
CUST000067,400,2,1106.49,3,2,2,322,Others
CUST000068,879,3,2133.56,2,4,3,243,Loyal Customers
CUST000069,224,5,9578.62,4,5,5,455,Champions
CUST000070,3,5,4382.66,5,5,5,555,Champions
CUST000071,648,2,3549.08,3,2,5,325,Others
CUST000072,302,1,1823.97,4,1,3,413,Others
CUST000073,641,2,364.29,3,2,1,321,Others
CUST000074,209,1,936.42,4,1,2,412,Others
CUST000075,1736,1,177.35,1,1,1,111,Lost Customers
CUST000076,203,3,3722.78,4,4,5,445,Champions
CUST000077,1675,1,1397.38,1,1,2,112,Lost Customers
CUST000078,1439,1,126.29,1,1,1,111,Lost Customers
CUST000079,574,1,1401.0,3,1,2,312,Others
CUST000080,1688,2,1546.23,1,2,3,123,Lost Customers
CUST000081,1655,1,625.81,1,1,1,111,Lost Customers
CUST000082,1187,2,3002.29,1,2,4,124,Lost Customers
CUST000083,507,2,2052.1099999999997,3,2,3,323,Others
CUST000084,1619,1,113.97,1,1,1,111,Lost Customers
CUST000085,258,3,875.5799999999999,4,4,2,442,Potential Loyalists
CUST000086,347,5,5106.34,4,5,5,455,Champions
CUST000087,1294,2,1926.6399999999999,1,2,3,123,Lost Customers
CUST000088,1024,1,738.67,2,1,2,212,Lost Customers
CUST000089,886,1,552.31,2,1,1,211,Lost Customers
CUST000091,1480,1,944.65,1,1,2,112,Lost Customers
CUST000092,188,2,2097.69,4,2,3,423,Others
CUST000093,387,3,1959.58,4,4,3,443,Loyal Customers
CUST000094,566,1,680.74,3,1,1,311,Others
CUST000095,936,2,2744.84,2,2,4,224,Lost Customers
CUST000096,234,4,3768.67,4,5,5,455,Champions
CUST000097,1142,1,191.43,1,1,1,111,Lost Customers
CUST000098,6,1,290.85,5,1,1,511,Others
CUST000099,969,2,3654.03,2,2,5,225,Lost Customers
CUST000100,788,2,2897.41,2,2,4,224,Lost Customers
CUST000101,681,2,730.36,2,2,2,222,Lost Customers
